quantity_gwh;country_key;year_key;flow_type_key;source_type_key
56392773;18;13;;6
12487101;18;13;;7
55489958;18;13;;8
2779416;18;13;;10
14989342;18;13;;11
167341827;18;13;;9
8939144;18;13;;0
53765302;18;13;;0
80116647;18;13;;0
523867117;19;13;;0
155064302;19;13;;12
339586116;19;13;;1
173153673;19;13;;2
3402958;19;13;;3
147975314;19;13;;4
13159584;19;13;;5
1894586;19;13;;1
5711617;19;13;;6
4106119;19;13;;7
14758362;19;13;;8
597915;19;13;;1
4042687;19;13;;11
38333597;19;13;;9
3834936;19;13;;0
17532359;19;13;;0
502499821;19;13;;0
58895;20;13;;0
2228761;20;13;;1
1727781;20;13;;4
50098;20;13;;5
3416659;20;13;;6
243517;20;13;;7
564;20;13;;8
4161719;20;13;;9
3119579;20;13;4;0
2490633;20;13;5;0
347032;20;13;;0
6171414;20;13;;0
6002822;21;13;;0
1924687;21;13;;1
122614;21;13;;3
1052801;21;13;;4
328259;21;13;;5
421013;21;13;;1
879414;21;13;;6
3192348;21;13;;7
6324;21;13;;8
5;21;13;;11
4406345;21;13;;9
9121314;21;13;4;0
2982377;21;13;5;0
749051;21;13;;0
943646;21;13;;0
10449064;21;13;;0
2209581;22;13;;0
254993;22;13;;1
98056;22;13;;4
156936;22;13;;5
1154234;22;13;;6
761044;22;13;;7
3931;22;13;;8
2111524;22;13;;9
528574;22;13;4;0
1125721;22;13;5;0
1360289;22;13;;0
121061;22;13;;0
488825;22;13;;0
290866736;23;13;;0
11564476;23;13;;12
238559483;23;13;;1
14398344;23;13;;2
42209547;23;13;;3
177409183;23;13;;4
3621886;23;13;;5
920523;23;13;;1
9093503;23;13;;6
18068123;23;13;;7
8717493;23;13;;8
3216158;23;13;;10
16475;23;13;;11
42717163;23;13;;9
3545818;23;13;4;0
1590104;23;13;5;0
27851902;23;13;;0
264970549;23;13;;0
104208236;24;13;;0
303384;24;13;;12
58005942;24;13;;1
10045586;24;13;;2
1112066;24;13;;3
386939;24;13;;4
6624063;24;13;;5
1530326;24;13;;1
12945;24;13;;6
40000091;24;13;;7
2729501;24;13;;8
425916;24;13;;11
49366601;24;13;;9
18105657;24;13;4;0
1861927;24;13;5;0
4573313;24;13;;0
9912131;24;13;;0
34909606;25;13;;0
5215939;25;13;;1
2589303;25;13;;2
1958019;25;13;;4
668616;25;13;;5
19312864;25;13;;6
3519421;25;13;;7
273818;25;13;;8
655163;25;13;;10
35933;25;13;;11
3032635;25;13;;9
2176699;25;13;;0
32732906;25;13;;0
139437655;26;13;;0
1669278;26;13;;1
271759;26;13;;2
565761;26;13;;3
175509;26;13;;5
656249;26;13;;1
122620079;26;13;;6
14823187;26;13;;7
5954;26;13;;8
319157;26;13;;11
137624729;26;13;;9
233663;26;13;4;0
14971765;26;13;5;0
56929;26;13;;0
856393;26;13;;0
13869897;26;13;;0
146233851;27;13;;0
110386673;27;13;;1
85291385;27;13;;2
0;27;13;;3
17633347;27;13;;4
6986124;27;13;;5
475817;27;13;;1
3500734;27;13;;6
30867188;27;13;;7
1417308;27;13;;8
61948;27;13;;11
42771354;27;13;;9
1274473;27;13;4;0
1491439;27;13;5;0
1730017;27;13;;0
16146919;27;13;;0
126187255;27;13;;0
46134028;28;13;;0
9458418;28;13;;1
945804;28;13;;3
6011586;28;13;;4
2378176;28;13;;5
122852;28;13;;1
21508054;28;13;;6
12196525;28;13;;7
2831218;28;13;;8
139813;28;13;;10
39053786;28;13;;9
11242304;28;13;4;0
3487886;28;13;5;0
346774;28;13;;0
4504573;28;13;;0
45916133;28;13;;0
27432034;29;13;;0
16917489;29;13;;12
5188411;29;13;;1
876765;29;13;;2
304586;29;13;;3
1918863;29;13;;4
2020531;29;13;;5
67666;29;13;;1
5184384;29;13;;6
131173;29;13;;8
10577;29;13;;11
7336088;29;13;;9
13942008;29;13;4;0
19292073;29;13;5;0
51269;29;13;;0
1047694;29;13;;0
20521584;29;13;;0
13644777;30;13;;0
518576;30;13;;12
3219053;30;13;;1
2343645;30;13;;2
2119;30;13;;3
593937;30;13;;4
272347;30;13;;5
7005;30;13;;1
4877194;30;13;;6
3739;30;13;;7
35903;30;13;;8
5512311;30;13;;9
900495;30;13;4;0
1042148;30;13;5;0
385096;30;13;;0
607171;30;13;;0
1123598;30;13;;0
22924678;31;13;;0
49901643;31;13;;12
56605453;31;13;;1
2455875;31;13;;2
8056821;31;13;;3
41710379;31;13;;4
3929387;31;13;;5
452991;31;13;;1
44257396;31;13;;6
58175004;31;13;;7
20078118;31;13;;8
15;31;13;;1
214167;31;13;;11
126454906;31;13;;9
13999889;31;13;4;0
21753525;31;13;5;0
6838258;31;13;;0
22033597;31;13;;0
19262129;31;13;;0
161123848;32;13;;0
4915429;32;13;;12
15495479;32;13;;1
727896;32;13;;2
34001;32;13;;3
124694;32;13;;4
1184868;32;13;;5
2454199;32;13;;1
67887789;32;13;;6
28525392;32;13;;7
60898;32;13;;8
108322759;32;13;;9
12271471;32;13;4;0
29958233;32;13;5;0
10985261;32;13;;0
132451825;32;13;;0
59709818;33;13;;0
22275178;33;13;;12
330467;33;13;;1
35788;33;13;;3
357375;33;13;;4
1948689;33;13;;5
962818;33;13;;1
32788076;33;13;;6
232501;33;13;;7
1109393;33;13;;8
36078659;33;13;;9
31008544;33;13;4;0
28087937;33;13;5;0
5174994;33;13;;0
4198194;33;13;;0
53257238;33;13;;0
263412092;34;13;;0
152339559;34;13;;1
99415736;34;13;;2
164444;34;13;;3
45104717;34;13;;4
7654661;34;13;;5
6157141;34;13;;6
30459683;34;13;;7
9522259;34;13;;8
8393624;34;13;;10
1125555;34;13;;11
117601638;34;13;;9
5813271;34;13;4;0
1784281;34;13;5;0
25644706;34;13;;0
241796377;34;13;;0
26452155;35;13;;0
35109824;35;13;;12
108753838;35;13;;1
3618366;35;13;;2
1551294;35;13;;3
70545656;35;13;;4
28975235;35;13;;5
4063286;35;13;;1
